word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,log_freq,number_of_meanings,avg_variance_between_meanings,PoS,sentiment
deck,4,3.286,5.229,5.2,6.028,5.697,5.094,3.886,4.086,4.778,1,7.20658368259491,2,0.6142920555555555,NOUN,1.0
declare,7,5.375,5.829,6.294,3.294,2.849,4.969,5.2,4.818,4.647,0,6.749122847238111,0,0.0,VERB,1.0
decompose,9,3.576,2.697,3.849,4.882,4.807,4.688,5.515,3.875,4.706,0,5.57341471117513,0,0.0,VERB,1.0
decorate,8,4.882,6.576,6.171,4.618,4.629,5.771,3.686,4.235,2.548,0,6.319554494529155,0,0.0,VERB,1.0
decoration,10,5.031,6.258,5.25,4.781,5.29,5.286,3.5,3.655,2.786,0,6.672327880681866,0,0.0,NOUN,1.0
decorator,9,3.818,5.824,5.118,5.879,5.765,5.531,4.441,3.824,4.485,0,5.927299001463669,0,0.0,NOUN,1.0
decree,6,3.387,4.647,5.147,3.71,3.677,3.235,6.121,3.939,4.484,0,6.518439971912913,0,0.0,NOUN,1.0
deduct,6,3.471,4.029,4.807,2.912,2.618,4.618,5.618,3.849,4.182,0,6.116157278555662,0,0.0,VERB,1.0
deduction,9,4.706,5.343,6.063,2.794,2.886,4.471,5.697,3.765,4.588,0,6.613853128178911,0,0.0,NOUN,1.0
deed,4,4.0,5.364,5.188,3.943,3.294,4.697,4.6,3.5,4.235,0,6.624007196380919,0,0.0,NOUN,1.0
deep,4,5.765,5.8,4.588,3.794,4.6,6.273,2.914,5.912,4.091,0,7.72792666464374,0,0.0,ADJ,1.0
deer,4,4.344,5.839,5.156,6.667,6.767,5.484,2.818,3.633,2.969,0,7.000331847885857,0,0.0,NOUN,1.0
defame,6,3.581,3.355,4.133,2.807,2.333,2.706,6.656,3.936,4.129,0,5.2286236087584435,0,0.0,VERB,1.0
defeat,6,3.871,2.529,3.333,3.061,3.849,4.971,4.171,5.029,5.0,0,6.83579377549415,0,0.0,VERB,1.0
defiant,7,5.121,4.636,6.875,2.839,2.941,4.375,5.364,4.906,4.313,0,5.888834654940371,0,0.0,ADJ,1.0
define,6,3.688,5.152,5.7,3.063,2.406,5.844,5.129,3.613,3.938,0,7.557350851812434,0,0.0,VERB,1.0
definition,10,3.2,5.412,4.636,3.735,3.514,5.618,4.829,3.647,3.886,0,7.6629186985489355,0,0.0,NOUN,1.0
deformed,8,4.667,2.303,2.906,4.824,5.353,4.818,5.029,5.152,4.242,0,5.878983992665983,0,0.0,VERB,1.0
defy,4,5.677,3.939,6.688,2.719,2.794,5.563,5.229,5.258,4.6,0,5.903170866807499,0,0.0,VERB,1.0
dejected,8,3.469,2.375,3.71,2.387,2.5,3.303,6.031,3.967,4.063,0,5.157858538854196,0,0.0,ADJ,1.0
delay,5,3.206,3.029,3.485,3.4,3.371,5.546,4.8,4.242,3.971,0,7.3406659647993715,0,0.0,NOUN,0.0
delicious,9,7.394,7.879,5.824,3.265,3.853,6.433,3.412,4.853,2.853,0,6.87629475934477,0,0.0,ADJ,2.0
delight,7,7.091,8.059,5.824,3.0,4.212,5.588,4.029,4.667,2.914,0,6.749695666176101,0,0.0,NOUN,2.0
delighted,9,6.382,8.057,6.441,3.286,4.171,6.156,4.0,4.939,2.706,0,6.581178069379306,0,0.0,ADJ,2.0
delightful,10,7.371,7.882,6.6,2.657,3.849,5.714,4.486,5.294,2.8,0,6.543474641039095,0,0.0,ADJ,2.0
delirium,8,5.382,3.455,3.152,2.75,3.242,2.818,6.333,4.909,3.281,0,5.754156377951457,0,0.0,NOUN,1.0
delude,6,3.71,3.344,4.031,2.484,2.344,3.688,6.194,4.375,4.0,0,4.961900214848105,0,0.0,VERB,1.0
deluded,7,3.971,2.571,4.171,2.229,2.706,4.314,6.086,4.514,4.057,0,5.48681288633463,0,0.0,ADJ,0.0
deluge,6,4.077,4.074,4.393,3.571,3.552,2.576,6.556,4.074,4.308,0,5.639353989319532,0,0.0,NOUN,1.0
democracy,9,4.849,6.645,5.219,3.258,3.546,5.382,5.735,5.849,4.677,0,7.306552294716279,0,0.0,NOUN,1.0
democratic,10,4.242,6.229,5.455,2.765,3.314,4.839,6.0,5.324,4.844,0,7.3486351323186305,0,0.0,ADJ,1.0
demolish,8,6.147,2.889,5.2,5.167,5.471,5.387,4.694,5.914,5.944,0,5.5963254391958355,0,0.0,VERB,1.0
demon,5,6.061,1.906,4.219,3.758,5.75,5.548,4.212,5.469,5.242,0,6.662977849948461,0,0.0,NOUN,1.0
dense,5,3.559,4.242,4.419,3.909,3.727,5.065,5.618,4.182,5.029,0,6.718118876036883,0,0.0,ADJ,0.0
dentist,7,4.657,4.5,3.971,6.375,6.424,5.909,3.0,3.971,4.882,0,6.666361643845018,0,0.0,NOUN,1.0
depress,7,3.242,2.125,3.406,3.156,3.364,5.313,5.412,4.419,3.936,0,5.554560627970862,0,0.0,VERB,0.0
depressed,9,3.029,1.559,2.546,3.029,3.543,5.971,5.8,5.0,3.486,0,6.5261564733276565,0,0.0,ADJ,0.0
depression,10,3.794,1.727,2.206,3.059,3.765,6.182,5.735,5.5,3.824,0,7.1911109355261615,0,0.0,NOUN,1.0
derelict,8,4.313,3.273,4.424,4.484,4.936,4.171,5.625,4.656,4.706,0,5.609902680884398,0,0.0,ADJ,1.0
descend,7,3.879,4.152,4.313,3.677,3.941,4.969,5.118,3.636,4.455,0,6.033229888203831,0,0.0,VERB,1.0
descent,7,4.546,4.061,4.594,3.486,4.182,4.242,5.353,4.029,4.412,0,6.517819434922306,0,0.0,NOUN,1.0
describe,8,4.177,5.303,5.875,2.853,3.118,6.188,3.647,3.886,3.697,0,7.391227274867623,0,0.0,VERB,1.0
description,11,4.086,5.6,5.546,3.0,2.857,6.088,4.171,4.543,3.743,0,8.292923054031567,0,0.0,NOUN,1.0
desert,6,4.968,4.9,4.258,6.125,6.219,5.581,3.515,5.188,4.0,0,7.1968046968049,0,0.0,NOUN,1.0
deserve,7,5.303,6.657,6.114,1.912,2.441,5.969,3.943,4.412,3.688,0,6.820810358762341,0,0.0,VERB,1.0
deserving,9,5.219,7.571,6.0,2.788,2.667,5.235,4.333,4.813,3.546,0,6.072787560278999,0,0.0,ADJ,2.0
design,6,4.394,6.273,5.853,3.471,4.182,5.567,4.091,4.531,3.294,0,8.422340843559958,0,0.0,NOUN,1.0
designer,8,4.9,5.844,5.625,4.581,4.0,5.31,4.97,4.0,2.875,0,7.486316527138548,0,0.0,NOUN,1.0
desirable,9,6.909,7.606,6.387,2.807,4.375,5.727,5.394,5.161,2.594,0,6.770749756378681,0,0.0,ADJ,2.0
desire,6,7.424,6.938,5.879,2.576,3.031,5.621,5.156,5.375,3.258,0,7.250009448826613,0,0.0,NOUN,1.0
desk,4,3.129,4.936,4.807,6.714,6.5,6.571,2.645,3.438,4.241,0,7.50935636709281,0,0.0,NOUN,1.0
desks,5,3.161,5.167,4.6,6.567,6.767,6.036,2.969,3.645,4.429,0,6.5205132707414455,0,0.0,NOUN,1.0
desolate,8,3.941,2.914,3.735,2.824,3.353,3.656,5.914,4.529,4.235,0,5.760364422814723,0,0.0,ADJ,0.0
despair,7,4.588,2.03,2.424,3.125,3.706,5.094,5.371,4.853,3.529,0,6.3764953823229265,0,0.0,NOUN,0.0
desperate,9,5.152,2.029,3.424,2.333,3.471,6.118,4.647,4.667,3.514,0,6.97085215861411,0,0.0,ADJ,0.0
desperation,11,4.235,2.029,2.853,2.088,2.941,4.781,5.206,5.235,3.294,0,6.072413141061601,0,0.0,NOUN,0.0
despise,7,5.677,1.75,5.129,2.344,3.031,4.677,5.219,5.0,4.393,0,5.871191593041535,0,0.0,VERB,0.0
dessert,7,6.0,7.2,5.242,6.177,6.571,6.147,3.118,3.824,2.771,0,6.6427266006875385,0,0.0,NOUN,1.0
destination,11,5.0,6.091,5.941,4.0,4.382,5.941,4.647,5.118,4.182,0,7.499188925126218,0,0.0,NOUN,1.0
destiny,7,6.143,6.571,4.382,2.0,2.606,5.273,5.303,6.147,2.656,0,6.755777395151318,0,0.0,NOUN,1.0
destroy,7,6.031,1.914,6.059,3.943,3.971,5.794,3.8,5.625,5.559,0,6.991736116408209,0,0.0,VERB,0.0
destroyer,9,4.529,2.286,4.657,4.171,4.2,4.4,4.771,5.941,6.029,0,6.13950568443411,0,0.0,NOUN,1.0
destruction,11,5.353,2.0,5.147,4.229,5.314,5.088,4.4,6.121,5.882,0,7.095300422306711,0,0.0,NOUN,0.0
detach,6,3.375,3.484,5.333,3.788,3.303,4.788,4.969,3.531,4.121,0,5.781886002270963,0,0.0,VERB,1.0
detached,8,3.114,3.375,4.829,3.029,3.343,4.657,5.257,4.029,4.588,0,6.571737473342114,0,0.0,VERB,0.0
detail,6,4.697,6.114,5.618,3.743,3.686,6.059,4.314,2.441,2.794,0,7.6579573116953465,0,0.0,NOUN,2.0
detailed,8,4.727,6.125,5.294,3.667,3.548,5.875,4.912,4.088,3.882,0,7.7193052285330515,0,0.0,ADJ,2.0
determination,13,7.235,8.029,7.5,2.242,3.0,5.839,5.059,5.875,4.161,0,7.2364800739374635,0,0.0,NOUN,1.0
determine,9,5.177,6.286,6.879,2.882,2.914,5.471,4.882,4.758,4.4,0,7.630503834318318,0,0.0,VERB,1.0
determined,10,7.015,7.478,7.692,2.881,3.324,6.295,4.942,5.463,4.303,0,7.539087709111447,0,0.0,ADJ,1.0
detest,6,5.097,2.3,5.152,2.394,2.833,4.607,5.258,4.909,4.333,0,5.279025521299009,0,0.0,VERB,0.0
detonate,8,5.818,2.515,5.774,4.742,4.667,4.625,5.515,5.939,5.576,0,5.275684434069415,0,0.0,VERB,1.0
detonation,10,6.121,3.125,4.625,4.606,4.576,4.097,5.594,5.75,5.281,0,5.569923745793637,0,0.0,NOUN,1.0
develop,7,5.206,6.794,6.406,2.849,3.212,5.625,4.4,5.0,3.879,0,7.745160985796057,0,0.0,VERB,1.0
development,11,5.161,6.727,5.909,3.667,3.419,6.032,5.152,5.5,4.265,0,8.456808318991705,0,0.0,NOUN,1.0
deviant,7,5.147,2.794,5.471,3.235,2.909,4.455,6.371,4.824,4.818,0,6.99642366606973,0,0.0,NOUN,1.0
deviation,9,4.576,4.441,4.844,2.849,2.909,4.588,6.353,4.455,4.029,0,6.766463040919797,0,0.0,NOUN,1.0
device,6,3.824,5.371,5.486,5.382,5.0,5.912,4.618,3.429,4.618,0,7.706033883051359,0,0.0,NOUN,1.0
devil,5,5.906,2.25,4.182,2.968,5.067,4.786,3.313,5.0,5.548,0,7.109562045425266,0,0.0,PROPN,1.0
devise,6,4.559,4.677,5.594,3.029,2.939,4.781,5.5,4.182,4.029,0,6.1243522603910785,0,0.0,VERB,1.0
devote,6,5.853,7.088,4.765,2.829,3.212,4.719,5.514,5.286,2.697,0,6.200041870500949,0,0.0,VERB,1.0
devoted,7,5.182,7.182,6.177,2.914,3.118,5.323,5.171,4.6,2.633,0,6.909322078336133,0,0.0,VERB,1.0
devotion,8,5.914,7.743,4.829,2.588,3.235,5.719,5.4,5.735,2.629,0,6.365355055462233,0,0.0,NOUN,1.0
diabetes,8,4.625,2.333,3.219,4.333,2.546,5.0,5.758,4.303,4.194,0,7.297222790889101,0,0.0,NOUN,1.0
diamond,7,6.031,7.188,5.75,6.813,6.697,5.467,3.656,3.387,1.781,0,7.597399710350913,0,0.0,NOUN,1.0
diamonds,8,7.177,7.171,6.0,6.765,6.794,5.788,3.824,3.429,1.886,0,7.015629345115441,0,0.0,NOUN,1.0
dice,4,4.567,4.968,4.069,6.533,6.414,5.0,3.032,1.75,4.448,0,6.77972856306692,0,0.0,NOUN,1.0
dictionary,10,3.121,6.0,5.303,6.394,6.212,5.594,3.765,4.303,4.121,0,7.611067655158608,0,0.0,NOUN,1.0
die,3,4.576,2.114,2.939,4.706,4.677,6.212,2.677,5.485,4.514,0,7.669739307755997,0,0.0,VERB,0.0
died,4,5.094,1.758,2.967,5.258,5.121,6.452,2.938,5.323,4.485,0,7.553922717889989,0,0.0,VERB,0.0
diffusion,9,3.529,5.471,4.206,4.0,3.364,4.121,6.314,3.765,3.971,0,6.626324863914691,0,0.0,NOUN,1.0
digest,6,3.242,5.143,5.059,4.879,3.686,5.594,4.647,4.029,4.2,0,7.175984496350355,0,0.0,NOUN,1.0
digestion,9,3.25,5.939,4.441,5.281,5.029,5.839,5.029,3.781,4.677,0,6.23885068494798,0,0.0,NOUN,1.0
digit,5,3.294,5.029,5.382,4.941,4.912,4.839,4.471,2.588,4.765,1,6.844542097607307,2,0.20594011111111116,NOUN,1.0
digital,7,4.382,6.143,5.286,5.063,4.546,6.235,4.886,4.273,4.455,0,8.30609626983321,0,0.0,ADJ,1.0
digits,6,3.424,4.943,4.882,5.057,4.829,4.382,4.229,2.914,4.286,1,6.617028768645707,2,0.20739922222222226,NOUN,1.0
dignified,9,4.667,7.758,7.0,2.818,3.125,5.242,5.697,4.906,3.303,0,5.747772146084459,0,0.0,ADJ,2.0
dignity,7,5.114,7.588,6.971,2.229,2.886,5.0,5.571,5.429,3.4,0,6.609388844324296,0,0.0,NOUN,1.0
dildo,5,6.0,5.333,5.455,6.6,6.686,5.059,6.829,3.813,3.794,0,7.317847282364684,0,0.0,NOUN,1.0
dim,3,2.941,3.727,4.333,3.875,4.344,4.844,3.914,2.697,4.382,0,6.746283586471236,0,0.0,NOUN,0.0
dinner,6,5.606,6.714,5.849,6.121,6.314,6.629,1.657,3.677,3.257,0,7.414553182023825,0,0.0,NOUN,1.0
dinosaur,8,5.771,5.4,5.412,6.371,6.824,5.576,2.361,6.429,5.917,0,6.503627689937331,0,0.0,NOUN,1.0
diploma,7,6.125,7.152,6.563,5.406,5.75,5.273,5.727,4.606,3.909,0,6.905945025468634,0,0.0,NOUN,1.0
diplomat,8,3.742,5.71,5.344,4.75,4.323,4.161,5.781,4.5,5.035,0,6.132071967132061,0,0.0,NOUN,1.0
dire,4,3.71,2.281,4.212,2.719,2.344,4.606,5.706,4.097,4.5,0,6.362015696719926,0,0.0,ADJ,1.0
direct,6,5.088,6.0,6.758,4.029,3.353,5.273,4.294,4.515,4.97,0,8.009595735624824,0,0.0,ADJ,1.0
direction,9,4.758,5.849,5.781,3.576,3.781,6.031,3.636,4.484,4.121,0,7.5297968730571805,0,0.0,NOUN,1.0
dirt,4,3.147,2.971,4.829,5.971,6.029,5.794,2.086,3.235,5.177,0,6.913387823048053,0,0.0,NOUN,1.0
dirty,5,4.824,2.971,4.265,4.677,5.438,6.313,2.059,3.912,5.029,0,7.206870705856445,0,0.0,ADJ,1.0
disappoint,10,4.0,2.457,3.6,3.086,3.343,6.294,3.677,4.686,4.114,0,5.8727772486092995,0,0.0,VERB,0.0
disappointed,12,3.818,2.441,3.485,2.471,3.177,6.182,3.471,4.441,3.909,0,6.722967822532664,0,0.0,ADJ,0.0
disaster,8,5.794,1.333,2.727,3.971,5.618,5.677,3.943,6.343,4.618,0,7.2340348374111905,0,0.0,NOUN,0.0
disband,7,3.469,3.875,4.313,3.281,2.71,3.546,5.636,3.063,4.364,0,5.23689986184717,0,0.0,VERB,1.0
disciple,8,3.714,5.2,3.559,4.057,3.971,5.029,4.114,4.114,4.943,0,6.070952801518251,0,0.0,NOUN,1.0
discipline,10,4.563,4.719,4.129,2.844,3.875,5.448,4.424,4.875,4.469,0,7.069481872653141,0,0.0,NOUN,1.0
disclose,8,4.219,4.5,4.871,2.5,2.438,3.862,5.903,3.967,3.966,0,6.744077973702569,0,0.0,VERB,1.0
disclosure,10,3.714,4.939,4.941,2.909,2.471,4.147,6.343,4.0,4.086,0,7.178195809410276,0,0.0,NOUN,1.0
disco,5,6.303,6.375,5.774,5.152,5.75,4.815,3.97,4.563,3.4,0,6.84927730806976,0,0.0,NOUN,1.0
discomfort,10,5.281,2.697,2.909,3.03,3.5,5.483,4.667,4.438,3.4,0,6.310033192985973,0,0.0,NOUN,0.0
disconnect,10,3.25,3.5,4.25,4.147,3.212,5.471,4.794,3.594,4.394,0,6.381571346751828,0,0.0,NOUN,1.0
discourage,10,3.235,3.118,4.059,2.849,2.667,5.0,5.088,4.242,4.471,0,6.199870864035379,0,0.0,VERB,1.0
discover,8,6.188,7.0,6.839,3.375,4.344,6.125,3.625,5.531,4.303,0,7.41250323555546,0,0.0,VERB,1.0
discovery,9,6.912,7.429,6.559,3.714,4.057,5.424,4.0,5.857,4.559,0,7.356213711101345,0,0.0,NOUN,1.0
discrete,8,4.125,5.147,5.121,3.219,3.121,4.939,5.543,3.235,3.697,0,6.761932046097549,0,0.0,ADJ,1.0
discretion,10,3.818,5.182,5.182,2.394,2.97,4.968,6.235,3.576,3.576,0,6.949940967020133,0,0.0,NOUN,1.0
disdain,7,4.4,2.867,4.667,2.482,2.586,3.656,6.333,3.929,4.3,0,5.736026596827377,0,0.0,NOUN,1.0
disease,7,4.059,1.765,3.177,5.059,4.794,5.794,4.029,4.912,4.059,0,7.782049396553411,0,0.0,NOUN,0.0
diseased,8,3.882,1.667,3.353,4.4,4.514,4.912,4.735,5.0,4.657,0,5.827303994721518,0,0.0,VERB,1.0
disfigured,10,4.412,2.588,2.97,4.118,5.177,4.667,5.706,4.441,4.576,0,5.225552211872568,0,0.0,VERB,1.0
disgust,7,4.514,2.371,4.853,3.121,4.242,5.531,4.657,4.588,4.091,0,5.938563752800023,0,0.0,NOUN,0.0
disgusted,9,4.576,2.029,5.486,2.914,3.743,5.735,4.229,4.914,4.294,0,5.837623786347797,0,0.0,ADJ,0.0
disgusting,10,4.0,1.829,4.057,2.743,4.382,6.114,3.029,5.0,4.886,0,6.134553524273666,0,0.0,ADJ,0.0
dish,4,3.5,5.194,5.375,6.207,6.065,6.042,2.933,2.767,3.407,0,7.337576235484171,0,0.0,NOUN,1.0
disloyal,8,4.543,2.029,3.429,2.657,2.943,4.571,5.294,4.788,4.029,0,5.059729985407396,0,0.0,ADJ,0.0
dismiss,7,3.576,3.212,4.344,3.406,3.0,4.9,5.063,3.6,4.214,0,6.38578603073296,0,0.0,VERB,0.0
disparity,9,3.433,3.125,3.667,2.172,2.161,3.438,6.467,4.767,3.655,0,6.032867260888182,0,0.0,NOUN,1.0
displeased,10,4.286,2.371,4.543,3.029,3.886,4.886,4.706,4.086,3.686,0,5.411266066512139,0,0.0,ADJ,1.0
dispose,7,3.265,3.353,4.824,3.771,3.206,4.765,5.229,3.606,4.529,0,6.3613549380131245,0,0.0,VERB,1.0
disposition,11,4.031,4.548,4.529,2.6,2.281,3.645,6.333,4.563,4.281,0,6.757174573265257,0,0.0,NOUN,1.0
dissent,7,4.355,3.1,5.161,2.667,2.781,3.4,6.303,4.188,4.484,0,6.3156139519062995,0,0.0,NOUN,1.0
dissident,9,4.679,3.852,4.846,3.0,2.741,2.656,6.786,4.192,4.72,0,5.800156669392373,0,0.0,NOUN,1.0
distant,7,3.5,3.97,3.774,3.147,4.088,6.194,4.424,4.727,4.206,0,6.766639156699666,0,0.0,ADJ,0.0
distinction,11,5.147,6.647,6.219,2.912,3.182,4.636,5.486,4.735,4.455,0,6.8355328020109525,0,0.0,NOUN,1.0
distinguish,11,4.594,5.606,6.0,2.879,2.97,5.515,5.697,3.909,4.206,0,6.685416119565507,0,0.0,VERB,1.0
distract,8,4.143,3.735,4.257,3.177,2.849,5.667,4.029,3.941,4.242,0,5.893335578349882,0,0.0,VERB,0.0
distraction,11,4.588,3.912,3.455,3.03,3.118,6.088,4.677,4.412,4.061,0,6.090010671008156,0,0.0,NOUN,1.0
distress,8,5.457,2.286,2.914,3.286,3.943,5.375,4.853,4.971,3.424,0,6.538810420110576,0,0.0,NOUN,1.0
distressed,10,4.294,2.647,3.182,2.824,3.618,5.455,5.5,4.765,3.794,0,6.20715753955088,0,0.0,ADJ,1.0
disturb,7,5.265,2.849,4.563,2.971,3.529,5.364,3.912,4.429,4.281,0,6.089457168799148,0,0.0,VERB,1.0
disturbed,9,4.353,2.091,3.412,2.886,3.182,4.849,4.588,4.4,4.382,0,6.865243601865136,0,0.0,VERB,1.0
ditch,5,3.469,3.424,4.455,5.125,4.938,4.0,4.125,3.875,4.258,0,6.37543552661611,0,0.0,VERB,1.0
dive,4,5.314,5.6,5.829,4.382,5.118,5.686,3.382,4.171,4.086,0,6.916698926814162,0,0.0,VERB,1.0
diver,5,4.438,5.125,5.433,6.0,6.0,5.3,3.849,3.3,5.031,0,6.389592369991367,0,0.0,NOUN,1.0
diverse,7,5.088,7.229,5.286,2.485,3.771,5.412,5.857,5.457,4.0,0,7.128151385162625,0,0.0,ADJ,2.0
divert,6,4.394,4.344,4.387,3.742,3.281,4.594,5.485,4.031,4.303,0,6.008034795304901,0,0.0,VERB,1.0
divination,10,3.833,5.556,4.577,2.704,2.36,2.818,6.129,4.667,3.37,0,5.869678695577766,0,0.0,NOUN,1.0
divine,6,6.125,7.469,5.419,1.936,2.484,4.367,4.625,5.719,2.931,0,6.97375103467135,0,0.0,ADJ,2.0
divorce,7,5.094,2.581,4.344,4.25,3.313,5.333,4.781,5.161,3.733,0,7.139986325014806,0,0.0,NOUN,1.0
dizzy,5,4.839,3.516,3.531,3.0,3.875,5.071,3.281,3.323,3.464,0,6.1536063529464755,0,0.0,NOUN,1.0
docile,6,2.533,5.065,3.621,3.033,3.267,3.933,6.276,3.138,3.074,0,5.306184758719732,0,0.0,ADJ,1.0
dock,4,3.514,4.971,4.824,6.235,5.371,4.353,4.486,4.629,4.743,1,6.779434430225896,2,1.7477433333333336,NOUN,1.0
doctor,6,5.088,6.118,4.353,6.382,6.546,6.455,2.441,4.147,5.118,0,7.6003815698068955,0,0.0,NOUN,1.0
doctrine,8,4.968,4.871,4.367,3.774,2.839,3.242,6.719,5.484,4.968,0,6.800176209916645,0,0.0,NOUN,1.0
document,8,3.25,5.0,5.588,6.059,6.091,6.094,5.118,3.667,4.364,0,7.994333749705948,0,0.0,NOUN,1.0
dodgy,5,4.257,2.788,4.121,3.394,3.313,5.333,4.486,3.727,4.758,0,5.757124889748628,0,0.0,ADJ,0.0
dog,3,6.147,7.067,6.242,6.833,6.889,6.84,1.735,3.273,4.606,0,7.888020079151,0,0.0,NOUN,1.0
dogma,5,5.192,3.357,2.815,2.107,2.071,2.903,6.536,5.214,4.852,0,6.007156086166292,0,0.0,NOUN,1.0
dole,4,3.333,3.107,3.517,3.778,3.25,3.414,6.103,3.071,4.654,0,6.08791906450638,0,0.0,PROPN,1.0
doll,4,3.515,5.765,4.618,6.371,6.4,5.441,1.6,2.057,1.677,0,7.080910056434406,0,0.0,NOUN,1.0
dollar,6,5.706,5.743,5.057,6.514,6.5,5.543,3.743,3.794,5.171,0,7.547471159130877,0,0.0,NOUN,1.0
dolls,5,3.882,5.559,5.686,6.286,6.457,5.0,1.771,2.457,1.914,0,7.34370485685998,0,0.0,NOUN,1.0
dolphin,7,5.406,6.531,5.194,6.849,6.818,5.71,2.515,4.871,2.909,0,6.6581414746208765,0,0.0,NOUN,1.0
dome,4,3.406,5.188,4.807,5.867,6.03,3.643,4.455,4.625,4.233,0,6.739017374600589,0,0.0,NOUN,1.0
dominate,8,6.914,3.941,8.371,2.8,3.886,5.324,5.486,5.943,5.657,0,6.440013291929898,0,0.0,VERB,1.0
donkey,6,3.706,5.182,5.343,6.588,6.667,5.281,2.543,4.059,4.857,0,6.45021106738491,0,0.0,NOUN,1.0
doom,4,5.688,1.636,2.75,2.182,2.563,4.31,4.375,5.75,4.767,0,6.782946076649657,0,0.0,NOUN,1.0
doomed,6,4.906,1.645,2.594,3.032,2.75,4.581,4.727,5.486,4.818,0,6.227977151796797,0,0.0,ADJ,0.0
door,4,2.818,5.333,5.156,6.636,6.686,6.743,1.714,3.571,4.265,0,7.753114342473711,0,0.0,NOUN,1.0
doorman,7,3.429,4.943,4.529,6.471,6.324,5.114,4.806,3.743,6.444,0,5.42577542821449,0,0.0,NOUN,1.0
dope,4,3.903,4.226,4.613,4.188,3.586,3.781,5.875,3.03,4.879,1,6.171729670637479,2,0.9698422222222222,NOUN,1.0
dopey,5,3.125,3.576,4.394,2.697,4.0,4.125,3.939,3.677,4.853,0,5.227989484044257,0,0.0,ADJ,0.0
dose,4,3.171,4.576,4.182,4.265,3.686,5.324,4.857,2.882,4.147,0,7.203010763555622,0,0.0,NOUN,1.0
doubt,5,4.273,2.971,3.382,2.588,2.765,6.029,4.677,4.088,3.794,0,7.307736886887888,0,0.0,NOUN,1.0
dough,5,4.121,5.588,5.382,6.118,5.941,5.344,3.147,2.794,3.943,1,6.48182329345244,2,0.9597767777777777,NOUN,1.0
dove,4,4.059,6.273,5.147,6.086,6.5,4.875,3.029,2.4,2.647,1,6.512358820115101,2,0.8616656666666667,NOUN,1.0
down,4,3.303,3.941,4.5,3.382,4.229,6.333,1.8,3.057,4.088,1,8.352020146554333,3,1.104468814814815,ADV,1.0
drab,4,2.364,3.364,3.938,3.059,3.941,3.618,5.5,3.0,4.177,0,5.633517942131251,0,0.0,ADJ,0.0
draft,5,3.727,5.091,4.765,4.531,3.412,5.267,4.559,3.588,4.156,1,7.544485027384689,2,0.4164102777777778,NOUN,1.0
drag,4,3.794,3.714,3.941,4.206,4.714,5.265,3.794,3.636,4.486,0,6.961448669703973,0,0.0,VERB,0.0
dragon,6,6.781,4.938,5.867,4.839,6.345,5.259,3.063,5.531,5.387,0,7.239985547754257,0,0.0,NOUN,2.0
drama,5,5.647,4.471,4.677,4.029,3.735,6.125,4.0,5.265,2.529,0,7.320973462639202,0,0.0,NOUN,0.0
draught,7,4.103,3.483,4.276,4.1,3.581,3.778,5.133,3.793,4.36,0,5.758140978994508,0,0.0,NOUN,1.0
draw,4,4.697,6.029,6.257,4.971,5.424,6.121,2.171,3.303,3.636,1,7.3561286025565815,4,0.6456494166666668,VERB,1.0
drawers,7,2.912,5.147,5.114,6.343,6.086,5.853,3.0,3.571,3.571,0,6.314147102529432,0,0.0,NOUN,1.0
drawing,7,4.771,6.029,5.265,5.735,5.771,5.735,2.371,3.706,3.324,0,7.302488164181492,0,0.0,NOUN,1.0
dread,5,5.548,2.065,3.0,2.5,2.875,4.5,5.063,4.871,4.379,0,6.217437353761406,0,0.0,NOUN,0.0
dream,5,6.303,7.406,5.125,2.719,4.059,6.615,2.824,5.5,3.094,0,7.525285520954132,0,0.0,NOUN,2.0
dreams,6,6.667,6.849,4.882,2.742,4.161,6.367,2.829,5.667,3.03,0,7.281910438007231,0,0.0,NOUN,1.0
dreary,6,2.656,2.657,3.781,2.794,3.8,4.343,4.853,3.441,3.829,0,5.7416289814935135,0,0.0,ADJ,0.0
dress,5,5.629,6.371,5.879,6.611,6.727,6.71,2.028,3.265,1.472,1,7.4364641463576175,3,0.3440697777777777,NOUN,1.0
dressed,7,4.364,6.273,5.879,4.938,5.606,6.394,2.485,3.281,3.156,0,6.790850294054741,0,0.0,VERB,1.0
dresser,7,4.286,5.5,4.743,5.914,5.559,4.618,4.2,3.343,2.229,0,6.218142519398722,0,0.0,NOUN,1.0
drift,5,3.515,4.471,4.706,3.206,3.697,4.667,4.647,3.559,4.412,0,6.589894334115562,0,0.0,VERB,1.0
drifter,7,3.853,4.088,4.576,3.625,4.118,3.824,5.813,3.182,4.829,0,5.678255173290968,0,0.0,NOUN,1.0
drifting,8,4.219,4.5,4.03,3.147,4.118,4.909,5.088,4.0,4.091,0,6.093389462118192,0,0.0,VERB,1.0
drill,5,4.441,4.273,5.719,6.314,6.353,4.879,3.471,3.118,5.529,1,6.916390089405917,2,1.246172277777778,NOUN,1.0
drive,5,4.813,5.774,6.094,4.818,5.25,6.103,2.969,4.0,4.879,1,8.032616226787399,2,1.7034356111111106,VERB,1.0
drop,4,3.606,3.8,4.515,4.294,4.636,5.839,2.333,3.485,4.364,1,7.5732550171170585,2,0.9169746666666667,VERB,1.0
